CreatedDate,Shape,RapUploadNo,MinSize,MaxSize,Color,Clarity,IsUpdated,Price
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,D,SI3,FALSE,820
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,D,I2,FALSE,510
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,E,IF,FALSE,1610
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,F,VVS2,FALSE,1610
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,F,VS2,FALSE,1400
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,F,SI3,FALSE,820
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,F,I1,FALSE,660
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,G,VS1,FALSE,1210
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,G,SI2,FALSE,840
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,G,SI3,FALSE,720
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,H,I3,FALSE,350
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,I,SI2,FALSE,720
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,I,I2,FALSE,390
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,J,IF,FALSE,1180
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,J,VVS2,FALSE,1180
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,J,VS2,FALSE,1020
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,J,I1,FALSE,490
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,K,I2,FALSE,310
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,L,VVS1,FALSE,940
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,L,SI1,FALSE,670
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,M,VVS1,FALSE,780
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,M,VVS2,FALSE,780
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,M,I1,FALSE,310
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,N,VVS1,FALSE,780
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,N,SI1,FALSE,550
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,N,SI2,FALSE,480
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,N,I2,FALSE,240
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,N,I3,FALSE,170
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,D,IF,FALSE,2400
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,D,VS2,FALSE,1700
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,D,I2,FALSE,800
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,D,I3,FALSE,600
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,E,I1,FALSE,900
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,E,I3,FALSE,500
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,F,VVS2,FALSE,1700
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,G,VVS2,FALSE,1600
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,G,SI3,FALSE,900
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,H,VVS2,FALSE,1500
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,H,SI2,FALSE,1000
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,I,VVS2,FALSE,1300
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,I,VS2,FALSE,1100
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,I,SI1,FALSE,1000
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,J,IF,FALSE,1300
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,J,VVS2,FALSE,1100
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,J,VS1,FALSE,1100
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,J,SI1,FALSE,900
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,J,SI2,FALSE,800
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,J,I3,FALSE,300
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,K,IF,FALSE,1200
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,L,VVS1,FALSE,900
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,L,I1,FALSE,500
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,M,I1,FALSE,400
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,D,I1,FALSE,1200
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,E,IF,FALSE,2700
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,E,SI3,FALSE,1300
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,E,I3,FALSE,600
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,F,IF,FALSE,2500
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,F,VVS1,FALSE,2300
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,F,VS1,FALSE,1900
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,F,SI2,FALSE,1400
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,F,SI3,FALSE,1200
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,F,I1,FALSE,1000
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,F,I2,FALSE,800
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,G,IF,FALSE,2300
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,G,VS1,FALSE,1800
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,D,I1,FALSE,660
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,D,I3,FALSE,400
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,E,VVS1,FALSE,1610
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,E,VS2,FALSE,1400
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,E,SI3,FALSE,820
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,E,I2,FALSE,510
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,F,SI1,FALSE,1130
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,G,IF,FALSE,1410
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,G,VVS2,FALSE,1410
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,H,VVS1,FALSE,1410
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,H,SI1,FALSE,990
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,I,IF,FALSE,1180
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,I,VVS1,FALSE,1180
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,I,VVS2,FALSE,1180
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,J,SI1,FALSE,840
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,J,SI2,FALSE,720
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,J,I2,FALSE,390
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,K,VVS1,FALSE,940
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,K,VS1,FALSE,820
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,K,VS2,FALSE,820
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,K,SI1,FALSE,670
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,L,SI3,FALSE,510
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,L,I1,FALSE,390
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,L,I2,FALSE,310
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,M,IF,FALSE,780
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,M,VS2,FALSE,660
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,M,SI2,FALSE,480
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,M,I2,FALSE,240
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,N,IF,FALSE,780
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,N,VS2,FALSE,660
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,D,VVS2,FALSE,2000
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,D,VS1,FALSE,1800
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,D,SI1,FALSE,1600
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,E,VVS1,FALSE,2000
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,E,VVS2,FALSE,1800
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,E,SI1,FALSE,1500
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,E,I2,FALSE,800
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,F,VVS1,FALSE,1800
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,F,VS1,FALSE,1600
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,F,SI1,FALSE,1400
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,F,SI2,FALSE,1200
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,F,I1,FALSE,800
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,F,I2,FALSE,700
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,G,VS2,FALSE,1400
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,G,I2,FALSE,700
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,G,I3,FALSE,400
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,H,IF,FALSE,1700
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,H,VS1,FALSE,1400
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,H,SI1,FALSE,1200
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,H,SI3,FALSE,800
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,H,I3,FALSE,400
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,I,IF,FALSE,1500
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,I,VVS1,FALSE,1400
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,I,SI2,FALSE,900
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,J,SI3,FALSE,700
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,K,SI2,FALSE,700
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,K,I3,FALSE,300
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,L,IF,FALSE,1000
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,L,VS2,FALSE,800
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,L,SI3,FALSE,600
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,M,IF,FALSE,900
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,M,VVS2,FALSE,900
2025-03-21T04:42:44.276Z,PB,1,0.3,0.39,M,I2,FALSE,300
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,D,VVS2,FALSE,2400
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,D,SI1,FALSE,1800
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,G,SI2,FALSE,1300
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,H,VS2,FALSE,1600
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,H,SI2,FALSE,1200
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,H,SI3,FALSE,1000
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,H,I1,FALSE,900
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,H,I2,FALSE,700
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,I,IF,FALSE,1900
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,I,VVS1,FALSE,1700
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,I,SI1,FALSE,1300
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,I,I3,FALSE,400
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,J,SI3,FALSE,900
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,K,VVS2,FALSE,1200
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,K,VS2,FALSE,1100
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,L,IF,FALSE,1300
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,L,VS2,FALSE,1000
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,L,I1,FALSE,600
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,M,VS1,FALSE,900
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,M,VS2,FALSE,900
2025-03-21T04:42:44.276Z,PB,1,0.4,0.49,M,I3,FALSE,300
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,D,IF,FALSE,3300
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,D,VS1,FALSE,2600
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,D,SI1,FALSE,2200
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,D,SI2,FALSE,2000
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,D,SI3,FALSE,1800
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,E,I3,FALSE,800
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,F,I2,FALSE,1100
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,G,IF,FALSE,2600
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,G,I1,FALSE,1300
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,H,VVS1,FALSE,2200
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,H,VS1,FALSE,2000
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,H,I2,FALSE,900
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,I,VVS1,FALSE,2000
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,I,SI1,FALSE,1600
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,I,I2,FALSE,900
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,I,I3,FALSE,600
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,J,SI1,FALSE,1400
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,J,I1,FALSE,1000
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,K,VVS2,FALSE,1500
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,K,VS2,FALSE,1300
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,K,I1,FALSE,900
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,L,VVS1,FALSE,1400
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,L,VS1,FALSE,1200
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,L,SI2,FALSE,1000
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,L,SI3,FALSE,900
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,M,IF,FALSE,1400
2025-03-21T04:42:44.276Z,PB,1,0.5,0.69,M,I3,FALSE,400
2025-03-21T04:42:44.276Z,PB,1,0.7,0.89,D,I2,FALSE,1600
2025-03-21T04:42:44.276Z,PB,1,0.7,0.89,E,SI2,FALSE,2200
2025-03-21T04:42:44.276Z,PB,1,0.7,0.89,F,IF,FALSE,4000
2025-03-21T04:42:44.276Z,PB,1,0.7,0.89,F,VVS2,FALSE,3600
2025-03-21T04:42:44.276Z,PB,1,0.7,0.89,G,VVS1,FALSE,3500
2025-03-21T04:42:44.276Z,PB,1,0.7,0.89,G,VVS2,FALSE,3300
2025-03-21T04:42:44.276Z,PB,1,0.7,0.89,G,VS1,FALSE,3100
2025-03-21T04:42:44.276Z,PB,1,0.7,0.89,G,SI3,FALSE,1700
2025-03-21T04:42:44.276Z,PB,1,0.7,0.89,G,I2,FALSE,1400
2025-03-21T04:42:44.276Z,PB,1,0.7,0.89,H,VS1,FALSE,2800
2025-03-21T04:42:44.276Z,PB,1,0.7,0.89,I,VVS1,FALSE,2900
2025-03-21T04:42:44.276Z,PB,1,0.7,0.89,I,VS1,FALSE,2500
2025-03-21T04:42:44.276Z,PB,1,0.7,0.89,I,VS2,FALSE,2200
2025-03-21T04:42:44.276Z,PB,1,0.7,0.89,I,I3,FALSE,800
2025-03-21T04:42:44.276Z,PB,1,0.7,0.89,J,IF,FALSE,2600
2025-03-21T04:42:44.276Z,PB,1,0.7,0.89,J,VVS2,FALSE,2300
